verdict,worth,soundness,soundness_score,rubric_coverage,audited_at,unknowns,repo_url,id,name,url,event,event_org,domain,subsystem,moves,stack,coolness,engagement,validation,event_prestige,recency,specificity,signal_richness,redundancy,likes,award,depth,has_deep,event_date,harvested_at,provenance,why_not_promoted,would_settle_it
,,,,,,,,viewer-s-cut,Viewer's Cut,https://devpost.com/software/viewer-s-cut,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Production & Direction,,,0.3662,0.220,0.100,0.704,0.986,0.480,0.280,0.118,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,pulsecheck-granola-clinical-note-assistant,PulseCheck - Granola Clinical Note Assistant,https://devpost.com/software/pulsecheck-granola-clinical-note-assistant,Build with Gemini XPRIZE,XPRIZE,"Health, Care & Human Performance",Screening & Diagnostics,,,0.3661,0.220,0.100,0.820,0.951,0.380,0.280,0.108,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,echovision-3d-0nk1l5,EchoVision 3D,https://devpost.com/software/echovision-3d-0nk1l5,Hack for Humanity | Summer 2026,Hack for Humanity,"Creative Media, Story & Play",Generative Video & Audio,,,0.3640,0.220,0.100,0.467,0.978,0.660,0.280,0.062,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,green-beacons-consulting,Green Beacons Social Enterprise,https://devpost.com/software/green-beacons-consulting,Build with Gemini XPRIZE,XPRIZE,"Public Trust, Safety & Compliance",General,,,0.3634,0.220,0.100,0.820,0.951,0.400,0.280,0.154,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,nutrisight-ysabil,NutriSight,https://devpost.com/software/nutrisight-ysabil,Build with Gemini XPRIZE,XPRIZE,"Data, Retrieval & Memory Infrastructure",Persistent Memory,,camera,0.3628,0.220,0.100,0.820,0.951,0.350,0.280,0.100,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,saral-9bn2lr,Reeloli,https://devpost.com/software/saral-9bn2lr,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Generative Video & Audio,,,0.3625,0.220,0.100,0.820,0.951,0.400,0.280,0.161,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,wpf-reliability-agent,WPF Reliability Agent,https://devpost.com/software/wpf-reliability-agent,All Things Agentic Hackathon,Google,"Health, Care & Human Performance",Screening & Diagnostics,make-the-invisible-measurable|constraint-is-the-feature|model-cost-routing,gcp|gemini,0.3625,0.220,0.100,0.732,0.973,0.420,0.280,0.100,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,aipilot-vn-autonomous-context-cache-telemetry-mitigation,AIPILOT.VN - Autonomous Context Cache & Telemetry Mitigation,https://devpost.com/software/aipilot-vn-autonomous-context-cache-telemetry-mitigation,Build with Gemini XPRIZE,XPRIZE,"Data, Retrieval & Memory Infrastructure",Storage & Ledgers,make-the-invisible-measurable,,0.3609,0.220,0.100,0.820,0.951,0.320,0.280,0.081,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,velorn-vercel-app,velorn.vercel.app,https://devpost.com/software/velorn-vercel-app,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,go|vercel|bluetooth,0.3604,0.220,0.100,0.820,0.951,0.280,0.280,0.038,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,astro-link,Astro-Link,https://devpost.com/software/astro-link,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Generative Video & Audio,,,0.3602,0.220,0.100,0.820,0.951,0.320,0.280,0.087,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,day-three,Day Three,https://devpost.com/software/day-three,All Things Agentic Hackathon,Google,Agentic Autonomy & Orchestration,Long-Horizon Autonomy,long-horizon-watcher,,0.3589,0.220,0.100,0.732,0.973,0.380,0.280,0.083,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,unleashed-simplicity-crew,undra,https://devpost.com/software/unleashed-simplicity-crew,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Games & Interactive Fiction,model-cost-routing,,0.3588,0.220,0.100,0.820,0.951,0.300,0.280,0.075,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,zeroday-ai-autonomous-vulnerability-patching-system,ZeroDay AI,https://devpost.com/software/zeroday-ai-autonomous-vulnerability-patching-system,All Things Agentic Hackathon,Google,Developer Tooling & Code Intelligence,Code Repair & Patching,,,0.3588,0.220,0.100,0.732,0.973,0.400,0.280,0.107,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,proofflow-agent,ProofFlow,https://devpost.com/software/proofflow-agent,All Things Agentic Hackathon,Google,"Data, Retrieval & Memory Infrastructure",Storage & Ledgers,evidence-graph|offline-first-fallback,,0.3578,0.220,0.100,0.732,0.973,0.400,0.280,0.115,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,pulseos-ovm4xn,PulseOS,https://devpost.com/software/pulseos-ovm4xn,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,,0.3578,0.220,0.100,0.820,0.951,0.400,0.280,0.200,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,vibemarketer,VibeMarketer,https://devpost.com/software/vibemarketer,All Things Agentic Hackathon,Google,"Money, Commerce & Marketplaces",Retail & Conversion,,,0.3576,0.220,0.100,0.732,0.973,0.400,0.280,0.118,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,sarthi-kalyan,Sarthi Kalyan,https://devpost.com/software/sarthi-kalyan,Build with Gemini XPRIZE,XPRIZE,"Public Trust, Safety & Compliance",Civics & Discourse,,,0.3572,0.220,0.100,0.820,0.951,0.300,0.280,0.088,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,livestockai-b3jz26,LivestockAI,https://devpost.com/software/livestockai-b3jz26,Build with Gemini XPRIZE,XPRIZE,"Money, Commerce & Marketplaces",Fintech & Personal Finance,,,0.3570,0.220,0.100,0.820,0.951,0.260,0.280,0.043,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,syntra-ai-dgq5ej,QuickAlert - Autonomous First Response,https://devpost.com/software/syntra-ai-dgq5ej,All Things Agentic Hackathon,Google,Agentic Autonomy & Orchestration,General,human-holds-the-last-button|offline-first-fallback,,0.3567,0.220,0.100,0.732,0.973,0.400,0.280,0.125,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,greenlight-ai-script-to-schedule-agents,CineGuard AI,https://devpost.com/software/greenlight-ai-script-to-schedule-agents,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Generative Video & Audio,deterministic-guardrail|verification-first,,0.3552,0.220,0.100,0.704,0.986,0.400,0.280,0.115,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,focushabit,FocusHabit,https://devpost.com/software/focushabit,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,,0.3545,0.220,0.100,0.820,0.951,0.260,0.280,0.065,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,deverywhere,Docagram,https://devpost.com/software/deverywhere,Devpost Software Showcase — Staff Picks & Rails,Devpost Editorial,Emerging & Cross-Domain,Unclassified,,,0.3541,0.220,0.550,0.380,1.000,0.000,0.280,0.118,,Unknown,listing,0,2026-09-18,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,the-ai-concierge-bar,The AI Concierge Bar,https://devpost.com/software/the-ai-concierge-bar,Build with Gemini XPRIZE,XPRIZE,"Money, Commerce & Marketplaces",General,,gemini,0.3529,0.220,0.100,0.820,0.951,0.310,0.280,0.136,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,jobpilot-ai,JobPilot AI,https://devpost.com/software/jobpilot-ai,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,,,0.3528,0.220,0.100,0.820,0.951,0.300,0.280,0.125,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,block_buster_hakathon,BACKLOT,https://devpost.com/software/block_buster_hakathon,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Production & Direction,crew-of-specialists,,0.3525,0.220,0.100,0.704,0.986,0.400,0.280,0.138,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,noji-map-find-your-perfect-wild-camping-spot,Noji Map - Find Your Perfect Wild Camping Spot,https://devpost.com/software/noji-map-find-your-perfect-wild-camping-spot,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Generative Video & Audio,,wearable,0.3515,0.220,0.100,0.820,0.951,0.230,0.280,0.054,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,protolive-xyz,ProtoLive.xyz,https://devpost.com/software/protolive-xyz,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,,0.3510,0.220,0.100,0.820,0.951,0.180,0.280,0.000,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,the-fixlens-multimodal-repair-guide-multilingual-jqscid,The FixLens: Multimodal Repair Guide,https://devpost.com/software/the-fixlens-multimodal-repair-guide-multilingual-jqscid,Build with Gemini XPRIZE,XPRIZE,Accessibility & Assistive Tech,Language & Translation,,electron,0.3503,0.220,0.100,0.820,0.951,0.230,0.280,0.065,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,vidyut-bcrn0l,Vidyut,https://devpost.com/software/vidyut-bcrn0l,All Things Agentic Hackathon,Google,"Climate, Energy & the Physical World",Energy & Mobility,model-cost-routing,,0.3501,0.220,0.100,0.732,0.973,0.320,0.280,0.087,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,healthia-one,HealthIA ONE,https://devpost.com/software/healthia-one,All Things Agentic Hackathon,Google,"Health, Care & Human Performance",Care Navigation & Records,privacy-as-architecture,bluetooth,0.3499,0.220,0.100,0.732,0.973,0.450,0.280,0.240,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,atah,BULWARK,https://devpost.com/software/atah,All Things Agentic Hackathon,Google,"Public Trust, Safety & Compliance",Regulatory & Audit Machinery,evidence-graph|crew-of-specialists,gemini|bluetooth,0.3498,0.220,0.100,0.732,0.973,0.420,0.280,0.206,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,dataaeternum-com,LBrain.ai,https://devpost.com/software/dataaeternum-com,Build with Gemini XPRIZE,XPRIZE,"Data, Retrieval & Memory Infrastructure",Persistent Memory,evidence-graph,,0.3496,0.220,0.100,0.820,0.951,0.260,0.280,0.105,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,aroppo,Find your next opportunity,https://devpost.com/software/aroppo,Build with Gemini XPRIZE,XPRIZE,Developer Tooling & Code Intelligence,"Build, CI & Release Plumbing",,unity,0.3484,0.220,0.100,0.820,0.951,0.230,0.280,0.080,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,claimops,ClaimOps,https://devpost.com/software/claimops,Build with Gemini XPRIZE,XPRIZE,"Public Trust, Safety & Compliance",Provenance & Anti-Deception,evidence-graph,,0.3469,0.220,0.100,0.820,0.951,0.180,0.280,0.035,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,easyfinder-to,easyfinder-to,https://devpost.com/software/easyfinder-to,Build with Gemini XPRIZE,XPRIZE,Learning & Knowledge Systems,Search & Retrieval,,,0.3462,0.220,0.100,0.820,0.951,0.180,0.280,0.040,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,unified-earth-dynamics,Unified Earth Dynamics,https://devpost.com/software/unified-earth-dynamics,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,constraint-is-the-feature,,0.3462,0.220,0.100,0.820,0.951,0.180,0.280,0.040,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,rootlense,RootLense,https://devpost.com/software/rootlense,Build with Gemini XPRIZE,XPRIZE,Developer Tooling & Code Intelligence,Incident & Reliability Ops,,bluetooth,0.3452,0.220,0.100,0.820,0.951,0.270,0.280,0.154,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,ai-fitting-labs,AI FITTING LABS,https://devpost.com/software/ai-fitting-labs,Build with Gemini XPRIZE,XPRIZE,"Money, Commerce & Marketplaces",Retail & Conversion,wrap-the-legacy-surface,,0.3442,0.220,0.100,0.820,0.951,0.180,0.280,0.057,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,must-master-unified-system-theorem,MUST: Master Unified System Theorem,https://devpost.com/software/must-master-unified-system-theorem,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Games & Interactive Fiction,,,0.3438,0.220,0.100,0.820,0.951,0.180,0.280,0.061,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,deshkaai,DeshkaAI,https://devpost.com/software/deshkaai,Build with Gemini XPRIZE,XPRIZE,Agentic Autonomy & Orchestration,General,verification-first,bluetooth,0.3430,0.220,0.100,0.820,0.951,0.230,0.280,0.125,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,proofline-65a8t4,Proofline,https://devpost.com/software/proofline-65a8t4,All Things Agentic Hackathon,Google,"Public Trust, Safety & Compliance",Provenance & Anti-Deception,evidence-graph|verification-first,,0.3429,0.220,0.100,0.732,0.973,0.400,0.280,0.240,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,firstnotice-dispatch,FirstNotice Dispatch,https://devpost.com/software/firstnotice-dispatch,All Things Agentic Hackathon,Google,"Public Trust, Safety & Compliance",Safety & Emergency Response,human-holds-the-last-button|artifacts-not-forms,gemini,0.3427,0.220,0.100,0.732,0.973,0.310,0.280,0.136,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,backpocket-help,Backpocket.help,https://devpost.com/software/backpocket-help,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,,0.3425,0.220,0.100,0.820,0.951,0.180,0.280,0.071,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,aetherforge-ai-agents-invent-a-3d-city-then-flood-test-it,Aetherforge,https://devpost.com/software/aetherforge-ai-agents-invent-a-3d-city-then-flood-test-it,Agentic Cinema: The Blockbuster Hackathon,Google,"Climate, Energy & the Physical World",Agriculture & Environment,,,0.3415,0.220,0.100,0.704,0.986,0.260,0.280,0.067,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,dev1-i6ma2u,FortifiedReg Fleet,https://devpost.com/software/dev1-i6ma2u,All Things Agentic Hackathon,Google,Agentic Autonomy & Orchestration,Multi-Agent Crews,institutional-grade-reliability,cloud run|gemini,0.3399,0.220,0.100,0.732,0.973,0.280,0.280,0.125,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,hireprep-ai-qn9h3w,HIREPREP-AI,https://devpost.com/software/hireprep-ai-qn9h3w,Build with Gemini XPRIZE,XPRIZE,Learning & Knowledge Systems,Tutors & Adaptive Learning,,,0.3377,0.220,0.100,0.820,0.951,0.180,0.280,0.111,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,intent-compiler,Kosmo,https://devpost.com/software/intent-compiler,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,,0.3366,0.220,0.100,0.820,0.951,0.220,0.280,0.167,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,neuropath-kbe2ys,NeuroPath,https://devpost.com/software/neuropath-kbe2ys,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Screening & Diagnostics,single-input-ux,gemini,0.3362,0.220,0.100,0.467,0.978,0.530,0.280,0.143,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,companion-healt-pro,Companion Healt Pro,https://devpost.com/software/companion-healt-pro,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,,0.3360,0.220,0.100,0.820,0.951,0.180,0.280,0.125,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,checkzhao,checkzhao,https://devpost.com/software/checkzhao,Build with Gemini XPRIZE,XPRIZE,"Health, Care & Human Performance",Mental Health & Wellbeing,,,0.3338,0.220,0.100,0.820,0.951,0.220,0.280,0.191,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,lenis-zwxmea,Lenis,https://devpost.com/software/lenis-zwxmea,Hack for Humanity | Summer 2026,Hack for Humanity,"Health, Care & Human Performance",Screening & Diagnostics,,,0.3335,0.220,0.100,0.467,0.978,0.520,0.280,0.154,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,stageport-fieldshield,AUTOGRAPHY,https://devpost.com/software/stageport-fieldshield,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Games & Interactive Fiction,,gemini,0.3323,0.220,0.100,0.704,0.986,0.230,0.280,0.108,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,studiotower-observable-production-control-for-film-prep,StudioTower,https://devpost.com/software/studiotower-observable-production-control-for-film-prep,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Generative Video & Audio,crew-of-specialists,bluetooth,0.3320,0.220,0.100,0.704,0.986,0.230,0.280,0.111,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,artifact-sri4un,Artifact,https://devpost.com/software/artifact-sri4un,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Generative Video & Audio,human-holds-the-last-button,bluetooth,0.3314,0.220,0.100,0.704,0.986,0.230,0.280,0.115,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,farmlink-nigeria,Farmlink Nigeria,https://devpost.com/software/farmlink-nigeria,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,,0.3310,0.220,0.100,0.820,0.951,0.080,0.280,0.050,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,tidemark-hgom3q,TIDEMARK,https://devpost.com/software/tidemark-hgom3q,All Things Agentic Hackathon,Google,Agentic Autonomy & Orchestration,Agent Guardrails & Gating,deterministic-guardrail,,0.3309,0.220,0.100,0.732,0.973,0.180,0.280,0.083,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,acl-movemement-analytics-lab,ACL Movement Analytics Lab,https://devpost.com/software/acl-movemement-analytics-lab,Hack for Humanity | Summer 2026,Hack for Humanity,"Public Trust, Safety & Compliance",General,,bluetooth,0.3304,0.220,0.100,0.467,0.978,0.470,0.280,0.121,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,countersign-s4w1a8,Countersign,https://devpost.com/software/countersign-s4w1a8,All Things Agentic Hackathon,Google,Agentic Autonomy & Orchestration,Multi-Agent Crews,human-holds-the-last-button,,0.3300,0.220,0.100,0.732,0.973,0.180,0.280,0.091,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,echoroom-tigno3,EchoRoom,https://devpost.com/software/echoroom-tigno3,Hack for Humanity | Summer 2026,Hack for Humanity,Emerging & Cross-Domain,Unclassified,,,0.3288,0.220,0.100,0.467,0.978,0.400,0.280,0.053,,Unknown,listing,0,2026-09-04,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,small-business-ai-growth-desk,Small Business AI Growth Desk,https://devpost.com/software/small-business-ai-growth-desk,Build with Gemini XPRIZE,XPRIZE,"Creative Media, Story & Play",Design & Visual Tools,,,0.3270,0.220,0.100,0.820,0.951,0.180,0.280,0.200,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,thetruth,TheTruth,https://devpost.com/software/thetruth,Build with Gemini XPRIZE,XPRIZE,Emerging & Cross-Domain,Unclassified,,,0.3258,0.220,0.100,0.820,0.951,0.000,0.280,0.000,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,the-neon-hosizon,NeoMovie,https://devpost.com/software/the-neon-hosizon,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Generative Video & Audio,crew-of-specialists,,0.3254,0.220,0.100,0.704,0.986,0.180,0.280,0.107,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,brainbar,BrainBar,https://devpost.com/software/brainbar,Agentic Cinema: The Blockbuster Hackathon,Google,Developer Tooling & Code Intelligence,Incident & Reliability Ops,verification-first|constraint-is-the-feature,,0.3246,0.220,0.100,0.704,0.986,0.180,0.280,0.114,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,continuity-n4joe9,CONTINUITY,https://devpost.com/software/continuity-n4joe9,Agentic Cinema: The Blockbuster Hackathon,Google,Emerging & Cross-Domain,Unclassified,,,0.3244,0.220,0.100,0.704,0.986,0.180,0.280,0.115,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,reel-crew,Reel Crew,https://devpost.com/software/reel-crew,Agentic Cinema: The Blockbuster Hackathon,Google,Agentic Autonomy & Orchestration,Multi-Agent Crews,crew-of-specialists,,0.3244,0.220,0.100,0.704,0.986,0.180,0.280,0.115,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,cinepilot-ai-multi-agent-film-production-assistant,CinePilot - Production Assistant,https://devpost.com/software/cinepilot-ai-multi-agent-film-production-assistant,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Generative Video & Audio,,,0.3226,0.220,0.100,0.704,0.986,0.180,0.280,0.130,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,tracelayer,TraceLayer,https://devpost.com/software/tracelayer,All Things Agentic Hackathon,Google,"Public Trust, Safety & Compliance",Regulatory & Audit Machinery,deterministic-guardrail,,0.3222,0.220,0.100,0.732,0.973,0.180,0.280,0.156,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,maintmentor-ai,Maintmentor.ai,https://devpost.com/software/maintmentor-ai,Build with Gemini XPRIZE,XPRIZE,Learning & Knowledge Systems,General,,,0.3220,0.220,0.100,0.820,0.951,0.080,0.280,0.125,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,openphr,MetawatchPHR,https://devpost.com/software/openphr,Build with Gemini XPRIZE,XPRIZE,"Health, Care & Human Performance",Screening & Diagnostics,,wearable,0.3204,0.220,0.100,0.820,0.951,0.050,0.280,0.103,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,growth-partner-ai,Growth Partner AI,https://devpost.com/software/growth-partner-ai,Build with Gemini XPRIZE,XPRIZE,"Money, Commerce & Marketplaces",General,,,0.3178,0.220,0.100,0.820,0.951,0.000,0.280,0.067,,Unknown,listing,0,2026-08-17,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,attestor,Attestor,https://devpost.com/software/attestor,All Things Agentic Hackathon,Google,Agentic Autonomy & Orchestration,Multi-Agent Crews,evidence-graph|deterministic-guardrail,,0.3162,0.220,0.100,0.732,0.973,0.180,0.280,0.206,,Unknown,listing,0,2026-08-31,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
,,,,,,,,cineflow-43r9vh,CineFlow AI,https://devpost.com/software/cineflow-43r9vh,Agentic Cinema: The Blockbuster Hackathon,Google,"Creative Media, Story & Play",Production & Direction,,,0.3143,0.220,0.100,0.704,0.986,0.180,0.280,0.200,,Unknown,listing,0,2026-09-09,2026-09-18,unaudited,not_audited,project page capture (deep)|artifact check via repo_verify.py
